Manufacturer,Name,Price (in Rupees),Compatible networks,Release Date,OS,Chipset,CPU,GPU,Memory (in GB),Storage (in GB),SIM,Battery (in mAh),Charging (in Watts),Display Size (in Inches),Display Type,Refresh Rate,Sound,Rear Camera (in MP),Front Camera (in MP),Connectivity,Water resistance
Samsung,Samsung Galaxy F62,23999,2G / 3G / 4G LTE / 5G,2021-05-20,Android 11,Exynos 9825,Octa-core CPU (2x 2.73 Ghz Samsung M4 + 2x 2.4 GhzARM Cortex-A75+ 4x 1.95 GhzARM Cortex-A55),ARMMaliG76-MP12,8,128,eSIM,7000,25.0,6.7,AMOLED,90,Loudspeaker,64,32,Wi-Fi802.11 a/b/g/n/acUSB-C3.5Â mm audio jack,IP67
Samsung,Samsung Galaxy M22,14999,2G / 3G / 4G LTE,2021-09-14,Android 11,Mediatek Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,6,128,eSIM,5000,25.0,6.4,AMOLED,90,Loudspeaker,48,13,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth 5.0, A2DP, LE",IP67
Samsung,Samsung Galaxy M32,13499,2G / 3G / 4G LTE / 5G,2021-06-21,Android 11,MediaTekHelio G80,Octa-core CPU (2x2.0 GHzARM Cortex-A75& 6x1.8 GHzARM Cortex-A55),ARMMali-G52 MC2,8,128,Dual SIM,5000,25.0,6.4,AMOLED,90,Loudspeaker,64,20,Wi-FiWi-Fi DirectWi-Fi HotspotBluetooth5.03.5 mm headphone jackUSB-C,IP67
Samsung,Samsung Galaxy M52 5g,25999,2G / 3G / 4G LTE / 5G,2021-06-21,Android 13,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno 642L,8,128,Dual SIM,5000,25.0,6.7,AMOLED,120,Loudspeaker,64,32,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspotBluetooth 5.0, A2DP, LEUSBType-C2.0",IP67
Samsung,Samsung Galaxy S21,38999,2G / 3G / 4G LTE / 5G,2021-01-14,Android 13,"International:Samsung Exynos 2100United States, Canada, China, Japan:Qualcomm Snapdragon 888","Exynos: Octa-core (1x2.9 GHzCortex-X1, 3x2.80 GHzCortex-A78and 4x2.2 GHzCortex-A55)Snapdragon: Octa-core (1x2.84 GHz, 3x2.42 GHz and 4x1.80 GHz)Kryo680",Exynos:Mali-G78 MP14Snapdragon:Adreno660,6,512,eSIM,4500,25.0,6.2,AMOLED,120,Stereo Speakers,12,10,Bluetooth 5.2Wi-Fi802.11 a/b/g/n/ac/6(e),IP68
Samsung,Samsung Galaxy Xcover 5,32990,2G / 3G / 4G LTE,2021-03-04,Android 13,Samsung Exynos850 (8nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),Mali-G52,4,64,Dual SIM,3000,15.0,5.3,IPS LCD,120,Loudspeaker,16,5,"Wi-Fi802.11 a/b/g/n/ac,dual-band,Wi-Fi Direct,hotspotBluetooth5.0, A2DP, LEA-GPS, GLONASS, GALILEO, BDSNFC, Radio",IP68
Samsung,Samsung Galaxy Z Flip 3,49999,2G / 3G / 4G LTE / 5G,2021-08-27,Android 13,Qualcomm Snapdragon888,"Octa-core (1x2.84 GHz, 3x2.40 GHz and 4x1.80 GHz)Kryo680",Adreno660,8,256,eSIM,3300,15.0,6.7,AMOLED,120,Stereo Speakers,48,12,Bluetooth 5.1Wi-Fia/b/g/n/ac/6,IPX8
Samsung,Samsung Galaxy Z Fold 3,110999,2G / 3G / 4G LTE / 5G,2021-08-27,Android 13,Qualcomm Snapdragon888,"Octa-core (1x 2.84 GHz, 3x 2.42 GHz and 4x 1.8 GHz)Kryo680",Adreno660,12,512,eSIM,4400,25.0,7.6,AMOLED,120,Stereo Speakers,12,12,"Bluetooth 5.2,A2DP, low-energy,aptXHDWi-Fi802.11 a/b/g/n/ac/6e, dual-band",IPX8
Sony,Sony Xperia 1 III,64999,2G / 3G / 4G LTE / 5G,2021-06-01,Android 13,Qualcomm Snapdragon888,"Octa-core (1x 2.84 GHzGold Prime, 3x 2.42 GHzGold, 4x 1.8 GHzSilver)Kryo 680",Adreno660,12,512,eSIM,4500,25.0,6.5,OLED,90,Stereo Speakers,12,8,"Wi-Fi802.11 a/b/g/n/ac/ax (2.4/5GHz)Bluetooth 5.2USB-CNFCGPSwithAssisted GPSGalileoGLONASSBeiDouMobile FeliCa/Osaifu-Keitai(XQ-BC42, SO-51B, SOG03 and A101SO models only)",IP68
Sony,Sony Xperia 5 III,49999,2G / 3G / 4G LTE / 5G,2021-10-01,Android 13,Qualcomm Snapdragon888,"Octa-core (1x 2.84 GHzGold Prime, 3x 2.42 GHzGold, 4x 1.8 GHzSilver)Kryo 680",Adreno660,8,256,eSIM,4500,25.0,6.1,OLED,120,Stereo Speakers,12,8,"Wi-Fi802.11 a/b/g/n/ac/ax (2.4/5GHz)Bluetooth 5.2USB-CNFCGPSwithAssisted GPSGalileoGLONASSBeiDouMobile FeliCa/Osaifu-Keitai(XQ-BQ42, SO-53B, SOG05 and A103SO models only)",IP68
